,mahalle,fiyat,brut_alan_m2,net_alan_m2,oda_sayisi,bina_yas,dairenin_bulundugu_kat,bina_kat_sayisi,isitma_turu,banyo_sayisi,balkon,asansor,otopark,esya_durumu,site_icinde,aidat,depozito,sahibi
177,Güzeloba Mh.,20000.0,60.0,40.0,1+1,4,2,3.0,Klima,1.0,1,1,Açık Otopark,1,0,400,40000,0
180,Kışla Mh.,15000.0,130.0,120.0,2+1,16-20 arası,3,4.0,Şömine,1.0,1,0,Yok,1,0,30,12000,0
181,Meydankavağı Mh.,21000.0,140.0,130.0,3+1,16-20 arası,Bahçe Katı,10.0,Klima,1.0,1,1,Açık Otopark,0,1,2000,20000,0
182,Güzeloba Mh.,17000.0,65.0,60.0,2+1,11-15 arası,Giriş Katı,5.0,Klima,1.0,1,1,Açık Otopark,1,0,150,34000,0
183,Haşimişcan Mh.,12500.0,135.0,125.0,3+1,26-30 arası,3,4.0,Yok,1.0,1,0,Yok,0,0,100,12500,0
184,Meydankavağı Mh.,22000.0,150.0,140.0,3+1,11-15 arası,2,4.0,Yok,1.0,1,1,Açık Otopark,0,1,250,0,0
185,Çağlayan Mh.,30000.0,160.0,140.0,3+1,11-15 arası,4,10.0,Kombi (Doğalgaz),1.0,1,1,Açık Otopark,1,1,400,60000,0
186,Güzelbağ Mh.,20000.0,90.0,75.0,2+1,11-15 arası,1,2.0,Kombi (Doğalgaz),1.0,1,0,Yok,0,0,200,20000,0
187,Şirinyalı Mh.,25000.0,168.0,160.0,3+1,21-25 arası,2,4.0,Kombi (Doğalgaz),1.0,1,0,Açık Otopark,0,0,50,25000,0
188,Şirinyalı Mh.,20000.0,110.0,100.0,2+1,16-20 arası,2,4.0,Yok,1.0,1,1,Açık Otopark,0,0,0,0,0
189,Bayındır Mh.,14500.0,70.0,60.0,1+1,5-10 arası,1,5.0,Klima,1.0,1,1,Açık Otopark,1,0,0,0,0
190,Güzeloba Mh.,28500.0,170.0,155.0,3+1,16-20 arası,5,6.0,Klima,1.0,1,1,Açık Otopark,1,0,800,30000,0
191,Yeşilbahçe Mh.,30000.0,150.0,140.0,3+1,16-20 arası,3,11.0,Klima,2.0,1,1,Açık Otopark,1,0,0,25000,0
192,Altındağ Mh.,17000.0,130.0,110.0,2+1,21-25 arası,1,8.0,Klima,1.0,1,1,Açık Otopark,0,0,200,18000,1
193,Haşimişcan Mh.,12000.0,60.0,55.0,1+1,26-30 arası,Bodrum Kat,4.0,Klima,1.0,0,0,Açık Otopark,0,0,0,12500,0
194,Meydankavağı Mh.,16500.0,150.0,140.0,3+1,16-20 arası,1,8.0,Klima,1.0,1,1,Açık Otopark,0,0,0,16500,1
196,Fener Mah.,25000.0,165.0,155.0,3+1,16-20 arası,7,8.0,Klima,1.0,1,1,Açık Otopark,1,1,300,25000,0
197,Kızılarık Mh.,12000.0,107.0,90.0,2+1,5-10 arası,2,4.0,Klima,1.0,1,1,Açık Otopark,0,0,0,12000,0
199,Yenigün Mh.,18000.0,100.0,85.0,2+1,11-15 arası,4,4.0,Kombi (Doğalgaz),1.0,1,0,Açık Otopark,1,0,0,0,0
200,Fener Mah.,26000.0,100.0,96.0,2+1,11-15 arası,1,3.0,Klima,1.0,1,0,Yok,1,0,0,0,0
201,Fener Mah.,22500.0,80.0,60.0,2+1,5-10 arası,Bahçe Katı,2.0,Kombi (Doğalgaz),1.0,1,0,Yok,0,1,0,50000,0
203,Kızılsaray Mh.,18000.0,60.0,50.0,1+1,16-20 arası,1,3.0,Klima,1.0,1,0,Yok,1,0,100,18000,0
204,Meltem Mah.,26000.0,140.0,130.0,3+1,21-25 arası,11,13.0,Klima,2.0,1,1,Yok,0,1,400,26000,0
205,Soğuksu Mh.,15000.0,125.0,110.0,3+1,21-25 arası,5,5.0,Klima,1.0,1,0,Açık Otopark,0,0,0,15000,0
206,Çağlayan Mh.,30000.0,150.0,135.0,3+1,16-20 arası,9,10.0,Klima,1.0,1,1,Açık Otopark,1,1,320,20000,0
208,Çağlayan Mh.,16000.0,55.0,50.0,1+1,11-15 arası,Bahçe Katı,4.0,Klima,1.0,1,1,Açık Otopark,0,1,1000,16000,0
209,Soğuksu Mh.,39000.0,300.0,270.0,5+1,11-15 arası,13,13.0,Kombi (Doğalgaz),2.0,1,1,Açık Otopark,1,1,400,0,0
210,Güzeloba Mh.,20000.0,160.0,155.0,3+1,5-10 arası,4,8.0,Klima,1.0,1,1,Açık Otopark,0,1,1000,20000,1
211,Fener Mah.,107000.0,230.0,200.0,4+1,11-15 arası,Yüksek Giriş,16.0,Kombi (Doğalgaz),3.0,1,1,Açık & Kapalı Otopark,0,1,2500,180000,1
212,Yeşilbahçe Mh.,35000.0,145.0,135.0,3+1,11-15 arası,5,8.0,Kombi (Doğalgaz),1.0,1,1,Açık Otopark,1,1,1550,70000,0
213,Güzeloba Mh.,45000.0,120.0,110.0,2+1,5-10 arası,1,2.0,Klima,2.0,0,1,Kapalı Otopark,1,1,1800,80000,1
214,Güzeloba Mh.,37000.0,95.0,85.0,2+1,4,3,6.0,Klima,2.0,1,1,Kapalı Otopark,1,1,1300,38000,0
215,Güzeloba Mh.,13000.0,60.0,50.0,1+1,5-10 arası,Yüksek Giriş,2.0,Klima,1.0,1,0,Açık Otopark,0,0,200,15000,0
216,Kızılarık Mh.,15000.0,135.0,120.0,3+1,4,1,5.0,Klima,1.0,0,1,Yok,0,0,0,15000,1
217,Güzeloba Mh.,30000.0,85.0,70.0,2+1,16-20 arası,Giriş Katı,1.0,Klima,1.0,0,1,Açık Otopark,1,1,1000,34000,1
218,Üçgen Mh.,17000.0,110.0,100.0,2+1,3,4,7.0,Yok,1.0,1,1,Açık & Kapalı Otopark,0,0,0,0,0
219,Fener Mah.,25000.0,90.0,75.0,2+1,21-25 arası,Bahçe Katı,15.0,Kat Kaloriferi,1.0,1,1,Kapalı Otopark,1,1,1250,25000,0
